Plätze;ID;Datum;Von;Dauer;Bis;DatumVon;DatumBis;Liga;Heimmannschaft;Gastmannschaft
5,6;26;Fr. 03.05.2024;15:00;5;20:00;2024-05-03 15:00;2024-05-03 20:00;S3;Mädchen 15 (4er);TC Gernlinden
1,2;11;Sa. 04.05.2024 ;09:00;5;14:00;2024-05-04 09:00;2024-05-04 14:00;S3;Bambini 12 (4er);TCE Gröbenzell
1,2,3;5;Sa. 04.05.2024 ;14:00;5;19:00;2024-05-04 14:00;2024-05-04 19:00;S4;Herren 40;TC Grün-Gold München
4,5,6;4;So. 05.05.2024 ;09:00;5;14:00;2024-05-05 09:00;2024-05-05 14:00;S4;Damen;TSV Eintracht Karlsfeld
4,5,6;3;So. 05.05.2024 ;14:00;5;19:00;2024-05-05 14:00;2024-05-05 19:00;LL2;Herren 50 II;1. SC Gröbenzell II
1,2;24;Sa. 11.05.2024 ;09:00;5;14:00;2024-05-11 09:00;2024-05-11 14:00;LL1;Junioren 18 II (4er);1. SC Gröbenzell II
1,2;11;Sa. 11.05.2024 ;09:00;5;14:00;2024-05-11 09:00;2024-05-11 14:00;S1;Bambini 12 (4er);TSV Geiselbullach
1,2,3;2;Sa. 11.05.2024 ;14:00;5;19:00;2024-05-11 14:00;2024-05-11 19:00;S1;Herren 50;SSV Höchstädt
5,6;7;Sa. 11.05.2024 ;14:00;5;19:00;2024-05-11 14:00;2024-05-11 19:00;S2;Damen 50 (4er);SV Lohhof II
1,2,3;18;So. 12.05.2024 ;09:00;5;14:00;2024-05-12 09:00;2024-05-12 14:00;S2;Herren;TC Machtenstein
1,2,3;6;So. 12.05.2024 ;14:00;5;19:00;2024-05-12 14:00;2024-05-12 19:00;S1;Herren 55 (5er);TC Gernlinden II
1,2;27;Sa. 08.06.2024 ;09:00;5;14:00;2024-06-08 09:00;2024-06-08 14:00;S4;Junioren 18 (4er);TG Germerswang
5,6;23;Sa. 08.06.2024 ;14:00;5;19:00;2024-06-08 14:00;2024-06-08 19:00;S4;Herren 40 II (4er);SpVgg Erdweg
4,5,6;13;Sa. 08.06.2024 ;14:00;5;19:00;2024-06-08 14:00;2024-06-08 19:00;S1;Damen 40;TC Blutenburg München
1,2,3;5;So. 09.06.2024 ;09:00;5;14:00;2024-06-09 09:00;2024-06-09 14:00;LL1;Herren 40;TC Gauting II
4,5,6;3;So. 09.06.2024 ;14:00;5;19:00;2024-06-09 14:00;2024-06-09 19:00;LL2;Herren 50 II;TSV Eintracht Karlsfeld II
1,2;11;Sa. 15.06.2024 ;09:00;5;14:00;2024-06-15 09:00;2024-06-15 14:00;S1;Bambini 12 (4er);TC Eichenau III
5,6;23;Sa. 15.06.2024 ;14:00;5;19:00;2024-06-15 14:00;2024-06-15 19:00;S3;Herren 40 II (4er);TF Fürstenfeldbruck II
1,2,3;2;Sa. 15.06.2024 ;14:00;5;19:00;2024-06-15 14:00;2024-06-15 19:00;S2;Herren 50;TV Altomünster
4,5,6;4;So. 16.06.2024 ;09:00;5;14:00;2024-06-16 09:00;2024-06-16 14:00;S1;Damen;TCE Gröbenzell
1,2,3;6;So. 16.06.2024 ;14:00;5;19:00;2024-06-16 14:00;2024-06-16 19:00;S3;Herren 55 (5er);TSV Moosach München II
1,2;24;Sa. 22.06.2024 ;09:00;5;14:00;2024-06-22 09:00;2024-06-22 14:00;S3;Junioren 18 II (4er);TSV Geiselbullach
5,6;7;Sa. 22.06.2024 ;14:00;5;19:00;2024-06-22 14:00;2024-06-22 19:00;S4;Damen 50 (4er);ASV Dachau
1,2,3;2;Sa. 22.06.2024 ;14:00;5;19:00;2024-06-22 14:00;2024-06-22 19:00;S4;Herren 50;TC Grün-Weiß Gräfelfing II
1,2;27;Sa. 29.06.2024 ;09:00;5;14:00;2024-06-29 09:00;2024-06-29 14:00;S4;Junioren 18 (4er);TC Schießgraben Augsburg V
1,2;24;Sa. 29.06.2024 ;09:00;5;14:00;2024-06-29 09:00;2024-06-29 14:00;LL1;Junioren 18 II (4er);TF Fürstenfeldbruck
4,5,6;13;Sa. 29.06.2024 ;14:00;5;19:00;2024-06-29 14:00;2024-06-29 19:00;LL2;Damen 40;TC Grün-Weiß Gräfelfing
1,2,3;18;So. 30.06.2024 ;09:00;5;14:00;2024-06-30 09:00;2024-06-30 14:00;S1;Herren;TSV Schwabhausen
1,2,3;6;So. 30.06.2024 ;14:00;5;19:00;2024-06-30 14:00;2024-06-30 19:00;S3;Herren 55 (5er);TSC WWK
5,6;26;Fr. 05.07.2024 ;15:00;5;20:00;2024-07-05 15:00;2024-07-05 20:00;S2;Mädchen 15 (4er);ASV Dachau
1,2;27;Sa. 06.07.2024 ;09:00;5;14:00;2024-07-06 09:00;2024-07-06 14:00;S1;Junioren 18 (4er);TC Eichenau II
4,5,6;13;Sa. 06.07.2024 ;14:00;5;19:00;2024-07-06 14:00;2024-07-06 19:00;S2;Damen 40;TC Gernlinden
